BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
Caterlink @ Basildon C.E Primary School,School/college/university,Basildon C Of E Primary School School Lane,Upper Basildon,Reading
Caterlink @ Bilton Secondary School,School/college/university,Earley West,300 Thames Valley Park Drive,
Caterlink @ Birch Copse Primary School,School/college/university,Birch Copse Primary School Wittenham Avenue,Tilehurst,Reading
Caterlink @ Chetwynde,School/college/university,Our Ladys Chetwynde School,Rating Lane,Barrow-In-Furness
Caterlink @ Pangbourne Primary School,School/college/university,Pangbourne Primary School Kennedy Drive,Pangbourne,Reading
Caterlink @ Purley CofE School,School/college/university,Purley Church Of England Primary School Purley Village,Purley On Thames,Reading
Caterlink @ Springfield Primary School,School/college/university,Springfield Primary School Barton Road,Tilehurst,Reading
Caterlink @ Streatley C.E. (VC) School,School/college/university,Streatley Church Of England Voluntary Controlled School The Coombe,Streatley,Reading
Caterlink @ The Castle School Theale,School/college/university,The Castle At Theale Church Street,Theale,Reading
Caterlink at Alfred Sutton Primary School,School/college/university,148 Wokingham Road,Reading,
Caterlink at Caversham Childrens Centre,Caring Premises,114 Amersham Road,Caversham,Reading Berkshire
Caterlink at Caversham Park Primary,School/college/university,Queensway,Caversham,Reading
Caterlink at Caversham Primary School,School/college/university,Hemdean Road,Caversham,Reading
Caterlink at Christ The King RC Primary School,School/college/university,Lulworth Road,Reading,Berkshire
Caterlink at Coley Primary School,School/college/university,Wolseley Street,Reading,
Caterlink at Emmer Green Primary School,School/college/university,Grove Road,Emmer Green,Reading
Caterlink at English Martyrs RC Primary School,School/college/university,Dee Road,Tilehurst,Reading
Caterlink at EP Collier Primary School,School/college/university,91 York Road,Reading,
Caterlink at Holybrook Special School,School/college/university,145 Ashampstead Road,Reading,
Caterlink at Katesgrove Primary School,School/college/university,Dorothy Street,Reading,
Caterlink at Kendrick Girls School,School/college/university,41-43 London Road,Reading,
Caterlink at Kennet Day Nursery at Reading Borough Council,Caring Premises,2-10 Bridge Street,Reading,
Caterlink at Manor Primary School,School/college/university,110 Ashampstead Road,Reading,
Caterlink at Micklands Primary School,School/college/university,Micklands Road,Caversham,Reading
Caterlink at Moorlands Primary School,School/college/university,Church End Lane,Tilehurst,Reading
Caterlink at New Christ Church Primary School,School/college/university,Milman Road,Reading,Berkshire
Caterlink at New Town Primary School,School/college/university,School Terrace,Reading,
Caterlink at Oxford Road Primary,School/college/university,146 Oxford Road,Reading,
Caterlink at Park Lane Infants School,School/college/university,256 School Road,Tilehurst,Reading Berkshire
Caterlink at Park Lane Primary Junior School,School/college/university,130 School Road,Tilehurst,Reading
Caterlink at Redlands Primary School,School/college/university,Lydford Road,Reading,
